year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2009.70970,,,28.87000,
2009.73600,,24.12000,,
2009.73690,,,28.22000,
2009.75040,,29.68000,,
2009.76400,,,27.46000,
2009.77760,,28.40000,,
2009.79110,,,28.52000,
2009.80470,,27.66000,,
2009.81840,,,28.92000,
2009.83190,,30.18000,,
2009.84550,,,28.67000,
2009.85900,,26.67000,,
2009.87260,,,25.24000,
2009.88620,,27.39000,,
2009.89980,,,27.88000,
2009.91330,,28.21000,,
2009.92690,,,27.01000,
2009.94050,,27.75000,,
2009.95400,,,25.18000,
2009.96760,,28.43000,,
2009.98120,,,29.90000,
2009.99480,,28.28000,,
2010.00840,,,26.91000,
2010.02190,,29.61000,,
2010.03550,,,26.35000,
2010.04910,,26.76000,,
2010.06260,,,25.46000,
2010.07620,,22.77000,,
2010.08980,,,21.84000,
2010.10330,,24.81000,,
2010.11700,,,25.96000,
2010.13050,,28.86000,,
2010.14410,,,28.34000,
2010.15760,,31.13000,,
2010.17120,,,31.90000,
2010.18500,,30.55000,,
2010.19830,,,25.67000,
2010.21200,,26.34000,,
2010.22550,,,26.18000,
2010.23900,,26.54000,,
2010.25270,,,25.96000,
2010.26550,,26.19000,,
2010.27990,,,28.62000,
2010.29350,,31.62000,,
2010.30690,,,28.87000,
2010.32050,,29.03000,,
2010.33410,,,26.11000,
2010.34770,,27.74000,,
2010.36120,,,26.21000,
2010.37480,,29.13000,,
2010.38840,,,30.44000,
2010.40190,,27.47000,,
2010.41550,,,30.36000,
2010.42770,,28.44000,,
2010.44270,,,30.42000,
2010.45620,,30.26000,,
2010.46980,,,30.79000,
2010.48330,,28.72000,,
2010.49700,,,30.44000,
2010.51050,,27.28000,,
2010.52420,,,30.05000,
2010.53770,,28.92000,,
2010.55130,,,30.54000,
2010.56390,,28.97000,,
2010.57840,,,28.42000,
2010.59200,,28.85000,,
2010.60550,,,26.75000,
2010.61920,,31.31000,,
2010.63280,,,27.79000,
2010.64630,,27.77000,,
2010.65990,,,24.02000,
2010.67330,,25.81000,,
2010.68700,,,25.63000,
2010.70060,,25.81000,,
2010.71420,,,25.08000,
2010.72770,,25.26000,,
2010.74140,,,24.27000,
2010.75490,,23.73000,,
2010.76850,,,25.36000,
2010.78200,,25.81000,,
2010.79560,,,28.58000,
2010.80920,,29.42000,,
2010.82280,,,26.74000,
2010.83640,,28.80000,,
2010.84990,,,25.95000,
2010.86350,,26.45000,,
2010.87710,,,27.06000,
2010.89060,,22.52000,,
2010.90430,,,23.04000,
2010.91780,,21.18000,,
2010.93140,,,24.30000,
2010.94490,,24.25000,,
2010.95860,,,23.98000,
2010.97210,,26.25000,,
2010.98570,,,26.41000,
2010.99930,,26.30000,,
2011.01290,,,24.01000,
2011.02640,,23.02000,,
2011.03990,,,23.42000,
2011.05360,,22.85000,,
2011.06710,,,25.22000,
2011.08070,,25.64000,,
2011.09430,,,23.67000,
2011.10780,,23.64000,,
2011.12140,,,22.66000,
2011.13500,,24.37000,,
2011.14860,,,23.42000,
2011.16210,,24.61000,,
2011.17570,,,23.97000,
2011.18920,,23.61000,,
2011.20290,,,24.03000,
2011.21640,,22.68000,,
2011.23000,,,21.83000,
2011.24360,,23.37000,,
2011.25710,,,23.70000,
2011.27050,,23.41000,,
2011.28430,,,23.96000,
2011.29780,,23.24000,,
2011.31150,,,23.52000,
2011.32500,,21.85000,,
2011.33860,,,20.75000,
2011.35210,,21.96000,,
2011.36570,,,24.34000,
2011.37930,,21.44000,,
2011.39290,,,25.26000,
2011.40640,,24.57000,,
2011.42000,,,25.35000,
2011.43360,,25.21000,,
2011.44710,,,25.98000,
2011.46070,,26.02000,,
2011.47430,,,28.32000,
2011.48790,,25.85000,,
2011.50140,,,26.33000,
2011.51510,,24.57000,,
2011.52860,,,25.50000,
2011.54210,,22.47000,,
2011.55580,,,24.55000,
2011.56930,,24.56000,,
2011.58300,,,25.50000,
2011.59650,,26.44000,,
2011.61000,,,28.12000,
2011.62360,,25.38000,,
2011.63720,,,28.35000,
2011.65080,,29.33000,,
2011.66440,,,27.78000,
2011.67780,,26.97000,,
2011.69160,,,26.00000,
2011.70510,,22.99000,,
2011.71870,,,25.50000,
2011.73190,,26.08000,,
2011.74590,,,27.83000,
2011.75910,,28.10000,,
2011.77300,,,30.17000,
2011.78670,,29.92000,,
2011.80020,,,31.25000,
2011.81370,,25.79000,,
2011.82730,,,26.87000,
2011.84080,,25.94000,,
2011.85440,,,26.33000,
2011.86800,,22.24000,,
2011.88160,,,27.19000,
2011.89520,,27.07000,,
2011.90870,,,29.90000,
2011.92200,,28.25000,,
2011.93580,,,30.58000,
2011.94950,,28.76000,,
2011.96310,,,31.39000,
2011.97650,,31.37000,,
2011.99020,,,31.01000,
2012.00370,,28.52000,,
2012.01730,,,33.10000,
2012.03090,,29.44000,,
2012.04450,,,33.00000,
2012.05800,,31.14000,,
2012.07160,,,34.37000,
2012.08490,,31.79000,,
2012.09870,,,32.89000,
2012.11190,,31.86000,,
2012.12580,,,34.26000,
2012.12700,,31.07000,,
2012.15310,,,32.31000,
2012.16720,,28.40000,,
2012.18020,,,31.63000,
2012.20730,,,32.98000,
2012.23450,,,35.17000,
2012.26160,,,32.94000,
2012.28880,,,32.51000,
2012.31590,,,32.76000,
2012.34300,,,33.49000,
2012.36450,,36.30000,,
2012.37020,,,35.67000,
2012.39440,,34.07000,,
2012.39730,,,34.86000,
2012.42420,,36.25000,,
2012.42450,,,34.23000,
2012.45170,,,37.84000,
2012.45400,,38.48000,,
2012.47450,,35.65000,,
2012.47880,,,36.24000,
2012.49490,,37.12000,,
2012.50600,,,35.80000,
2012.52470,,37.81000,,
2012.53310,,,39.14000,
2012.55460,,40.53000,,
2012.56030,,,40.35000,
2012.58440,,38.00000,,
2012.58740,,,38.28000,
2012.60480,,40.64000,,
2012.61450,,,37.78000,
2012.62520,,36.30000,,
2012.64170,,,33.90000,
2012.65520,,35.79000,,
2012.66880,,,36.55000,
2012.68490,,36.10000,,
2012.69610,,,35.49000,
2012.71470,,37.73000,,
2012.72320,,,38.92000,
2012.73500,,36.46000,,
2012.75030,,,38.80000,
2012.75550,,39.21000,,
2012.77750,,,40.19000,
2012.78520,,38.34000,,
2012.80460,,,37.43000,
2012.81510,,36.59000,,
2012.83180,,,36.81000,
2012.83550,,37.50000,,
2012.85590,,40.72000,,
2012.85890,,,38.82000,
2012.88580,,40.08000,,
2012.88610,,,39.03000,
2012.91320,,,37.57000,
2012.91560,,37.59000,,
2012.94040,,,40.58000,
2012.94540,,38.47000,,
2012.96580,,35.24000,,
2012.96750,,,37.78000,
2012.98620,,35.75000,,
2012.99460,,,38.71000,
2013.01620,,39.54000,,
2013.02180,,,38.89000,
2013.04590,,38.22000,,
2013.04890,,,38.97000,
2013.07580,,42.55000,,
2013.07610,,,41.12000,
2013.09610,,40.07000,,
2013.10310,,,40.41000,
2013.11670,,40.80000,,
2013.13040,,,37.96000,
2013.14640,,39.72000,,
